x,t,act,stretch,stretch_prev,n 
-10.40000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.79487984
 10.40000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.81200565
 15.60000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.81237462
 20.80000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.21600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.79518804
 10.40000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.81201881
 15.60000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.81237504
 20.80000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.21700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.79549082
 10.40000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.81203151
 15.60000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.81237544
 20.80000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.21800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.79578827
 10.40000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.81204377
 15.60000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.81237582
 20.80000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.21900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.79608048
 10.40000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.81205560
 15.60000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.81237617
 20.80000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
